sarcasm,irony,satire,understatement,overstatement,rhetorical_question,sarcastic,text_path,split
0,1,0,0,0,0,1,paragraphs/paragraph_000001.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000002.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000003.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000004.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000005.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000006.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000007.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000008.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000009.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000010.txt,test
0,1,0,1,0,0,1,paragraphs/paragraph_000011.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000012.txt,cal
0,1,0,0,0,1,1,paragraphs/paragraph_000013.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000014.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000015.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000016.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000017.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000018.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000019.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000020.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000021.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000022.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000023.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000024.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000025.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000026.txt,test
1,0,0,0,0,1,1,paragraphs/paragraph_000027.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000028.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000029.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000030.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000031.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000032.txt,train
1,1,0,0,0,0,1,paragraphs/paragraph_000033.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000034.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000035.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000036.txt,cal
0,1,0,0,0,0,1,paragraphs/paragraph_000037.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000038.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000039.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000040.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000041.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000042.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000043.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000044.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000045.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000046.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000047.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000048.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000049.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000050.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000051.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000052.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000053.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000054.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000055.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000056.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000057.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000058.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000059.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000060.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000061.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000062.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000063.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000064.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000065.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000066.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000067.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000068.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000069.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000070.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000071.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000072.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000073.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000074.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000075.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000076.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000077.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000078.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000079.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000080.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000081.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000082.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000083.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000084.txt,train
0,1,0,0,1,0,1,paragraphs/paragraph_000085.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000086.txt,train
1,0,0,1,0,0,1,paragraphs/paragraph_000087.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000088.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000089.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000090.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000091.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000092.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000093.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000094.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000095.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000096.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000097.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000098.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000099.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000100.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000101.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000102.txt,test
0,1,0,0,0,0,1,paragraphs/paragraph_000103.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000104.txt,train
0,1,0,0,0,1,1,paragraphs/paragraph_000105.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000106.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000107.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000108.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000109.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000110.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000111.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000112.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000113.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000114.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000115.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000116.txt,cal
0,1,0,0,0,0,1,paragraphs/paragraph_000117.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000118.txt,train
0,1,0,1,0,0,1,paragraphs/paragraph_000119.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000120.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000121.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000122.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000123.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000124.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000125.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000126.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000127.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000128.txt,cal
0,1,0,0,0,0,1,paragraphs/paragraph_000129.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000130.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000131.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000132.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000133.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000134.txt,train
1,0,0,1,0,0,1,paragraphs/paragraph_000135.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000136.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000137.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000138.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000139.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000140.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000141.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000142.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000143.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000144.txt,train
0,1,0,0,0,1,1,paragraphs/paragraph_000145.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000146.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000147.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000148.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000149.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000150.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000151.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000152.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000153.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000154.txt,train
0,1,0,1,0,0,1,paragraphs/paragraph_000155.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000156.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000157.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000158.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000159.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000160.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000161.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000162.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000163.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000164.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000165.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000166.txt,cal
1,0,1,0,0,0,1,paragraphs/paragraph_000167.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000168.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000169.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000170.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000171.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000172.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000173.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000174.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000175.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000176.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000177.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000178.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000179.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000180.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000181.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000182.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000183.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000184.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000185.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000186.txt,test
1,0,0,0,0,1,1,paragraphs/paragraph_000187.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000188.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000189.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000190.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000191.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000192.txt,cal
1,0,0,0,0,1,1,paragraphs/paragraph_000193.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000194.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000195.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000196.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000197.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000198.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000199.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000200.txt,test
0,1,0,0,0,0,1,paragraphs/paragraph_000201.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000202.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000203.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000204.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000205.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000206.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000207.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000208.txt,test
1,0,0,1,0,0,1,paragraphs/paragraph_000209.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000210.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000211.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000212.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000213.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000214.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000215.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000216.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000217.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000218.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000219.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000220.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000221.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000222.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000223.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000224.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000225.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000226.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000227.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000228.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000229.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000230.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000231.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000232.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000233.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000234.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000235.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000236.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000237.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000238.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000239.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000240.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000241.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000242.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000243.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000244.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000245.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000246.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000247.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000248.txt,cal
1,0,0,0,0,1,1,paragraphs/paragraph_000249.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000250.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000251.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000252.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000253.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000254.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000255.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000256.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000257.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000258.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000259.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000260.txt,train
0,1,0,0,0,1,1,paragraphs/paragraph_000261.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000262.txt,cal
0,1,0,0,0,0,1,paragraphs/paragraph_000263.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000264.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000265.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000266.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000267.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000268.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000269.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000270.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000271.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000272.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000273.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000274.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000275.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000276.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000277.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000278.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000279.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000280.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000281.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000282.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000283.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000284.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000285.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000286.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000287.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000288.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000289.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000290.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000291.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000292.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000293.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000294.txt,train
0,1,1,0,0,0,1,paragraphs/paragraph_000295.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000296.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000297.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000298.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000299.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000300.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000301.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000302.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000303.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000304.txt,test
1,0,0,0,0,1,1,paragraphs/paragraph_000305.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000306.txt,cal
0,1,0,0,0,0,1,paragraphs/paragraph_000307.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000308.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000309.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000310.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000311.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000312.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000313.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000314.txt,cal
1,0,0,0,0,0,1,paragraphs/paragraph_000315.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000316.txt,test
0,1,0,0,0,0,1,paragraphs/paragraph_000317.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000318.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000319.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000320.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000321.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000322.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000323.txt,test
0,0,0,0,0,0,0,paragraphs/paragraph_000324.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000325.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000326.txt,test
0,1,0,0,0,0,1,paragraphs/paragraph_000327.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000328.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000329.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000330.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000331.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000332.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000333.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000334.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000335.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000336.txt,train
0,1,0,0,0,0,1,paragraphs/paragraph_000337.txt,cal
0,0,0,0,0,0,0,paragraphs/paragraph_000338.txt,test
1,0,0,0,0,0,1,paragraphs/paragraph_000339.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000340.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000341.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000342.txt,train
1,0,0,0,0,1,1,paragraphs/paragraph_000343.txt,train
0,0,0,0,0,0,0,paragraphs/paragraph_000344.txt,train
1,0,0,0,0,0,1,paragraphs/paragraph_000345.txt,train
